#R[cm]          y[R_S0]         x        tau
0  0  0  0
1.57563566e+13  1.92558422e-05  1  0
3.15127132e+13  3.85116844e-05  1  0
4.72690698e+13  5.77675266e-05  1  0
6.30254265e+13  7.70233688e-05  1  0
7.87817831e+13  9.6279211e-05  1  0
9.45381397e+13  0.000115535053  1  0
1.10294496e+14  0.000134790895  1  0
1.26050853e+14  0.000154046738  1  0
1.4180721e+14  0.00017330258  1  0
1.57563566e+14  0.000192558422  1  0
1.73319923e+14  0.000211814264  1  0
1.89076279e+14  0.000231070106  1  0
2.04832636e+14  0.000250325949  1  0
2.20588993e+14  0.000269581791  1  0
2.36345349e+14  0.000288837633  1  0
2.52101706e+14  0.000308093475  1  0
2.67858062e+14  0.000327349317  1  0
2.83614419e+14  0.00034660516  1  0
2.99370776e+14  0.000365861002  1  0
3.15127132e+14  0.000385116844  1  0
3.30883489e+14  0.000404372686  1  0
3.46639846e+14  0.000423628528  1  0
3.62396202e+14  0.000442884371  1  0
3.78152559e+14  0.000462140213  1  0
3.93908915e+14  0.000481396055  1  0
4.09665272e+14  0.000500651897  1  0
4.25421629e+14  0.000519907739  1  0
4.41177985e+14  0.000539163582  1  0
4.56934342e+14  0.000558419424  1  0
4.72690698e+14  0.000577675266  0.999998093  9.53674316e-07
4.88447055e+14  0.000596931108  1  9.53674316e-07
5.04203412e+14  0.00061618695  1  9.53674316e-07
5.19959768e+14  0.000635442793  1  9.53674316e-07
5.35716125e+14  0.000654698635  1  9.53674316e-07
5.51472482e+14  0.000673954477  1  9.53674316e-07
5.67228838e+14  0.000693210319  1  9.53674316e-07
5.82985195e+14  0.000712466161  1  9.53674316e-07
5.98741551e+14  0.000731722004  1  9.53674316e-07
6.14497908e+14  0.000750977846  1  9.53674316e-07
6.30254265e+14  0.000770233688  1  9.53674316e-07
6.46010621e+14  0.00078948953  1  9.53674316e-07
6.61766978e+14  0.000808745372  0.999999046  1.43051147e-06
6.77523334e+14  0.000828001215  0.999999046  1.90734863e-06
6.93279691e+14  0.000847257057  1  1.90734863e-06
7.09036048e+14  0.000866512899  1  1.90734863e-06
7.24792404e+14  0.000885768741  1  1.90734863e-06
7.40548761e+14  0.000905024583  1  1.90734863e-06
7.56305118e+14  0.000924280426  1  1.90734863e-06
7.72061474e+14  0.000943536268  1  1.90734863e-06
7.87817831e+14  0.00096279211  1  1.90734863e-06
8.03574187e+14  0.000982047952  1  1.90734863e-06
8.19330544e+14  0.00100130379  1  1.90734863e-06
8.35086901e+14  0.00102055964  1  1.90734863e-06
8.50843257e+14  0.00103981548  1  1.90734863e-06
8.66599614e+14  0.00105907132  1  1.90734863e-06
8.8235597e+14  0.00107832716  1  1.90734863e-06
8.98112327e+14  0.00109758301  1  1.90734863e-06
9.13868684e+14  0.00111683885  1  1.90734863e-06
9.2962504e+14  0.00113609469  1  1.90734863e-06
9.45381397e+14  0.00115535053  1  1.90734863e-06
9.61137754e+14  0.00117460637  1  1.90734863e-06
9.7689411e+14  0.00119386222  1  1.90734863e-06
9.92650467e+14  0.00121311806  1  1.90734863e-06
1.00840682e+15  0.0012323739  1  1.90734863e-06
